"1. On a scale of 1-5, how actively are you involved in the Cardano ecosystem?",2. What role/s do you have within the Cardano community (select all that apply)?,3. How long have you been engaged with Cardano?,4. Please indicate your level of experience with Cardano:,"5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [Development of our core infrastructure]","5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [Research and development]","5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [Marketing and ecosystem growth]","5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [Innovation and grants (e.g. Catalyst)]","5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [Regulatory compliance and governance]",6. Which areas do you believe should receive the most funding in the upcoming budget? (Select up to three),"6. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 5 = Lowest allocation) [Development of our core infrastructure]","6. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 5 = Lowest allocation) [Research and development]","6. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 5 = Lowest allocation) [Marketing and ecosystem growth]","6. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 5 = Lowest allocation) [Innovation and grants (e.g. Catalyst)]","7. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 6 = Lowest allocation) [Regulatory compliance and governance]","6. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 5 = Lowest allocation) [On-chain Governance support]",7. Are there specific technologies or platforms you believe Cardano should adopt/integrate/consider?,9. Do you think Cardano should allocate budget for global outreach and adoption in developing countries?,10. Should funds be allocated to support third-party developers and startups building on Cardano?,8. What percentage of the budget should be reserved for unforeseen opportunities or emergencies?,9. How would you prefer to participate in budget decision-making? (Select all that apply),"10. How much would you like to participate (through committees, working groups and async discussions/research) ?",11. How important is transparency in the budget process to you?,12. How familiar are you with the budget process at Intersect and the budget committee’s progress (see here for more information)?,13. What are the top three projects or initiatives you would like to see funded in the next budget cycle?,14. Are there any areas you feel are currently overfunded and could receive less emphasis?,"15. On the other hand, are there any areas you feel are currently underfunded and could receive greater emphasis?",16. What challenges do you believe are most critical for Cardano to address with its budget?,"17. Are you currently participating in a committee, working group or special interest group?",18. How frequently would you like to receive updates on budget allocation and spending?,19. What level of detail would you prefer to receive?,20. Which communication channels do you prefer for receiving updates on budget and financial activities? (Select all that apply),21. Do you have any additional comments or suggestions regarding the budget planning process or funding allocation for Cardano?,Which region do you primarily reside in?,"7. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 6 = Lowest allocation) [Innovation and funding (i.e. Catalyst)]",Please acknowledge that you have read and agreed to our Privacy Policy?,"5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [On-chain governance support]"
5,"End user, Intersect contributor (member, working group or committee etc)",2 - 5 years,Advanced,1,4,2,5,,,1,3,2,5,,4,More utxo based chain as partner for true seamless interoperability ,,,5% - 10%,"Participating in focus groups or workshops, Providing feedback through surveys, Serving on committees or working groups, All of the above",10+ hours per month,5,Very familiar,"Explain cardano to people and business infrastructure, improvement on UI and UX for users and developers, single window development to get into cardano ,more tier 1 listings ",Catalyst ,Marketing and Business operations ,Keep the show going on with as much security as possible ,"Yes, several",Quarterly,Both high-level and detail,All the above,"Let's do all our best in the budget process and get off to a successful start, develop ways to deploy funds with majority being in ways of investment,loans, subsidy and grants so that we can recover our spending budget irrespective of fees on chain recovered",Asia,,I agree,3
4,"End user, Community organizer, On-chain governance (DRep, ICC, SPO)",Over 5 years,Advanced,2,3,4,5,,,2,3,4,5,,1,"More important to fulfill Cardano's original promise. 
Accelerate development of the CF or alternative SSI wallet, 
Declare Cardano's On-chain governance platform pubic good, to support all DAOs. 
The technical & financial barrier for people to onboard & use Cardano without a middleman is too high. 
Cardano without a public good platform will never fulfill its original promise",,,Unsure/I don’t know,All of the above,1-9 hours per month,5,Unsure/I don’t know,"1. SSI wallet
2. Cardanos Dao governance platform as public good.
",Catalyst has grown its usefulness. ,3. Incentivized Self guided education like the Gimbalabs PBL. ,Throwing money that corrupts communities without accountability.,"No, but would like to",Monthly,Both high-level and detail,All the above,all done,Africa,,I agree,1
5,"End user, Researcher, Content creator / educator, Community organizer, On-chain governance (DRep, ICC, SPO), Intersect contributor (member, working group or committee etc)",2 - 5 years,Advanced,5,4,3,1,,,5,3,4,1,,2,Forex trading via crypto,,,11% - 15%,"Voting on proposals (as a DRep), Participating in focus groups or workshops, Providing feedback through surveys, Serving on committees or working groups, All of the above",10+ hours per month,5,Somewhat familiar,"Onboarding workshops in developing countries, educational events, general crypto event participation ","The yearly summit. Would be better to hold it in a place where there is very low barrier to entry (etc. thailand, Vietnam, Manila, etc.)","Non-english events, developer workshops, global south marketing",Not spending our budget on things that only benefit 1% of our community ,"Yes, several",Monthly,Both high-level and detail,"Email newsletters, Official website updates, Social media platforms, Community forums, Webinars or live streams, All the above",Full PDF report of budget allocations and expenditures including the price it was sold to pay for FIAT payments ,Asia,,I agree,2
4,"On-chain governance (DRep, ICC, SPO), Intersect contributor (member, working group or committee etc)",Over 5 years,Intermediate,2,5,1,4,,,2,3,1,5,,4,We feel that people want a safe and comfortable wallet without having to worry about recovery phrases. The easiest and most efficient idea I can think of is bulk copy of recovery phrases (like Flint Wallet did).,,,11% - 15%,"Voting on proposals (as a DRep), Participating in focus groups or workshops, Providing feedback through surveys",Unsure/I don’t know,4,Neutral,"I don't know, so I'd like to know.","I don't know, so I'd like to know.","I don't know, so I'd like to know.","If I had to say, it would be marketing. It may be difficult to market infrastructure, but I think it will develop further if more people know about it and use it.","No, and not interested or have enough time",Quarterly,"Granular detail; reports, audits, meeting minutes etc",All the above,Let's all aim to be number one together!,Asia,,I agree,3
4,End user,Over 5 years,Advanced,2,3,5,4,,,2,3,5,4,,1,,,,More than 15%,"Voting on proposals (as a DRep), Providing feedback through surveys",Unsure/I don’t know,5,I have not engaged,"Hydra, BitcoinOS integration, Leios",No,No,Keep it sustainable ,"No, and not interested or have enough time",Quarterly,Both high-level and detail,"Email newsletters, Official website updates, Social media platforms",No,Europe,,I agree,1
4,"End user, Community organizer",Over 5 years,Advanced,1,4,2,5,,,1,4,2,5,,3,,,,11% - 15%,"Voting on proposals (as a DRep), Providing feedback through surveys",Unsure/I don’t know,5,Somewhat familiar,"Paros, Lieos, babel fees",Not really sure what time s currently being funded tbh,As above,"Scalability, finality, some better marketing ","No, but would like to",Quarterly,Both high-level and detail,"Email newsletters, Official website updates, Social media platforms","Be cautious and strict. Look to support well known teams that have already shown strong commitment to the network, and have clear detailed plans with achievable milestones. Consider loans and partial/full repayment deals.",Australia/Oceania,,I agree,3
5,"Researcher, Intersect contributor (member, working group or committee etc)",2 - 5 years,Advanced,2,3,4,5,,,3,4,2,5,,1,yes,,,5% - 10%,"Voting on proposals (as a DRep), Participating in focus groups or workshops, Providing feedback through surveys",1-9 hours per month,5,Somewhat familiar,catalyst,no,I don't know about that,marketing,"Yes, several",Quarterly,"High-level summary; current progress, milestones and/or upcoming events etc","Email newsletters, Official website updates, Social media platforms, Community forums, Webinars or live streams",no,Africa,,I agree,1
5,"Builder (part of DApp or project), End user, Researcher, Content creator / educator, Community organizer, Intersect contributor (member, working group or committee etc)",2 - 5 years,Advanced,2,4,1,5,,,1,3,2,4,,5,,,,11% - 15%,"Participating in focus groups or workshops, Providing feedback through surveys, Serving on committees or working groups",10+ hours per month,5,Neutral,"1. Marketing and Brand Awareness Initiative 
2. Product that solves the real-world problems 
3. Cardano Developer educational system ","Judging from the catalyst experience, the developer category and Products category received more funding but fewer results as many projects could scale. For every product to be funded there should be a clear statement of sustainability outside of requesting funds from the treasury. ",Marketing/IRL events/ Educational initiatives ,Growth and Development/Onboarding Business and users locally we have the technology in place already ,"Yes, several",Quarterly,Both high-level and detail,"Email newsletters, Official website updates, Social media platforms, Community forums, Webinars or live streams, All the above",Transparency should be the sole purpose of budget allocation ,Africa,,I agree,3
3,End user,Over 5 years,Intermediate,1,2,5,3,,,1,2,5,4,,3,,,,5% - 10%,"Participating in focus groups or workshops, Providing feedback through surveys",Unsure/I don’t know,5,I have not engaged,technical requirements for more efficient development roadmaps; R&D for prioritising most difficult and important issues and their resolution; government discussions for favourable regulations,DEX funding,Interoperability with other chains,Identification and prioritising most important issues,"No, but would like to",Monthly,"High-level summary; current progress, milestones and/or upcoming events etc","Email newsletters, Official website updates, Social media platforms, Community forums, Webinars or live streams, All the above",Not knowledgeable enough to comment ,Australia/Oceania,,I disagree (and do not want to be contacted),4
4,"Developer, On-chain governance (DRep, ICC, SPO), Catalyst reviewer and milestone reviewer",Over 5 years,Expert,1,4,5,2,,,1,4,5,2,,3,,,,Less than 5%,"Voting on proposals (as a DRep), Providing feedback through surveys",Unsure/I don’t know,4,I have not engaged,"Project Catalyst, Continued IOG plan for Cardano",no,"PR, not marketing per say but just something to counter the FUD about Cardano","Keeping Cardano on track without succumbing to the ""numbers must/should go up"" narrative of the noisiest people on social platforms who would prefer to compromise the long term future for a short term gain.","No, and not interested or have enough time",Quarterly,"High-level summary; current progress, milestones and/or upcoming events etc","Email newsletters, Official website updates, Social media platforms",Just remember that there is a silent majority who wants to be heard nonetheless. Surveys like this one are a good way to ask them what they want but you should always find more ways to engage with them and relativize the weigh of the noisy people in your decisions.,Europe,,I agree,3
4,End user,Less than 1 year,Intermediate,5,4,3,2,,,5,4,3,2,,1,"AI and Machine Learning Integration: optimizing network parameters, predicting scaling needs, & enhancing user experience through AI-driven interfaces",,,5% - 10%,"Voting on proposals (as a DRep), Participating in focus groups or workshops",Unsure/I don’t know,5,I have not engaged,"stable coin onboarding, L2 scaling, CEX listing for CNAs",i don't know,solutions which will provide on chain liquidity,"scaling: R&D, infrastructure development",I would like to but unsure of how to join or participate,Quarterly,Both high-level and detail,"Email newsletters, Official website updates, Social media platforms, Webinars or live streams","more educational content on twitter informing Cardano user's of how to get involved, voting, and governance /budget resources.",North America,,I agree,1
3,"End user, On-chain governance (DRep, ICC, SPO)",Over 5 years,Intermediate,1,2,5,4,,,1,2,5,4,,3,,,,More than 15%,"Voting on proposals (as a DRep), Providing feedback through surveys",10+ hours per month,5,Not familiar,Development of our core infrastructure and Research and development,Catalyst,none,To use funds prudently anyway.,"No, but would like to",Quarterly,"Granular detail; reports, audits, meeting minutes etc","Email newsletters, Official website updates, Social media platforms, Community forums",To use funds prudently anyway.,Asia,,I agree,3
3,"End user, Community organizer, Intersect contributor (member, working group or committee etc)",2 - 5 years,Beginner,3,5,4,2,,,3,5,4,2,,1,"Yes, proabbly a lot. ",,,More than 15%,"Participating in focus groups or workshops, Providing feedback through surveys, Serving on committees or working groups",10+ hours per month,5,I have not engaged,DK / DA,DK / DA,DK / DA,DK / DA,"Yes, one committee, working group or special interest group",Only when major changes occur,"High-level summary; current progress, milestones and/or upcoming events etc","Email newsletters, Official website updates, Social media platforms",Not so much.  Just we need to be more transparent and take care about treassury and keep investing in solid projects.,South America,,"I agree, I disagree (and do not want to be contacted)",1
